"codigo_uc","nome_uc","ano_criacao","tempo_uc","municipio","uf","bioma","desmatamento_antes","desmatamento_depois"
"0025.50.1997","MONUMENTO NATURAL MUNICIPAL SERRA DO BOM JARDIM",2003,21,"ALCINÓPOLIS","MS","Cerrado","1.5480944582986675","3.695848250255834"
"0025.50.4322","MONUMENTO NATURAL MUNICIPAL SERRA DO BOM SUCESSO",2018,6,"ALCINÓPOLIS","MS","Cerrado","4.451251903748982","0.7926908048055192"
"0025.50.1990","PARQUE NATURAL MUNICIPAL TEMPLO DOS PILARES",2003,21,"ALCINÓPOLIS","MS","Cerrado","1.5480944582986675","3.695848250255834"
"0000.00.1808","RESERVA EXTRATIVISTA DE CASSURUBÁ",2009,14,"ALCOBAÇA","BA","Mata Atlântica","0.6862422675442346","0.563927127786839"
"0000.00.1808","RESERVA EXTRATIVISTA DE CASSURUBÁ",2009,14,"ALCOBAÇA","BA","Área Marinha","0.6862422675442342","0.5639271277868388"
"0020.32.2878","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAERTH PAIVA GAMA",2005,18,"ALEGRE","ES","Mata Atlântica","0.0654370413023604","0.11881311268298247"
"0000.32.1831","PARQUE ESTADUAL DA CACHOEIRA DA FUMAÇA",2009,14,"ALEGRE","ES","Mata Atlântica","0.30262625667940957","0.074612876275295"
"0000.15.1034","ESTAÇÃO ECOLÓGICA DO GRÃO PARÁ",2006,18,"ALENQUER","PA","Amazônia","0","99.40283775918498"
"0000.15.1038","FLORESTA ESTADUAL DO PARU",2006,18,"ALENQUER","PA","Amazônia","0","102.91132707083813"
"0000.15.1037","FLORESTA ESTADUAL DO TROMBETAS",2006,18,"ALENQUER","PA","Amazônia","0","102.91132707083813"
"0000.00.4472","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO ECOLÓGICO OLHOS D'ÁGUA",2015,9,"ALEXÂNIA","GO","Cerrado","1.248131378554986","0.1956718990559441"
"0000.32.3457","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO GURURU",2016,7,"ALFREDO CHAVES","ES","Mata Atlântica","0.17157020493538838","0.018737532564816202"
"0000.32.2348","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OIUTREM",2006,17,"ALFREDO CHAVES","ES","Mata Atlântica","0.0844812362760751","0.1058265012241295"
"0000.00.2229","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS PEDRAS",2008,15,"ALFREDO WAGNER","SC","Mata Atlântica","0.23155758008150873","0.3643707207002463"
"0000.00.3099","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS II",2013,10,"ALFREDO WAGNER","SC","Mata Atlântica","0.4295017978607141","0.16642650292104103"
"0000.42.3210","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL PEDRA BRANCA",2012,11,"ALFREDO WAGNER","SC","Mata Atlântica","0.3820227714549286","0.2139055293268265"
"0000.00.1078","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS",2002,21,"ALFREDO WAGNER","SC","Mata Atlântica","0.0234773457725768","0.5724509550091784"
"0000.25.0490","ÁREA DE PROTEÇÃO AMBIENTAL DE TAMBABA",2002,21,"ALHANDRA","PB","Mata Atlântica","0.0369078776886939","0.3750975020373075"
"0000.15.1037","FLORESTA ESTADUAL DO TROMBETAS",2006,18,"ALMEIRIM","PA","Amazônia","0","102.91132707083811"
"0000.15.1038","FLORESTA ESTADUAL DO PARU",2006,18,"ALMEIRIM","PA","Amazônia","0","102.91132707083808"
"0000.00.0187","PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE",2002,22,"ALMEIRIM","PA","Amazônia","0","30.12996010227415"
"0000.15.1033","RESERVA BIOLÓGICA DE MAICURU",2006,18,"ALMEIRIM","PA","Amazônia","0","54.459513552743175"
"0000.00.0193","RESERVA BIOLÓGICA DA MATA ESCURA",2003,20,"ALMENARA","MG","Mata Atlântica","0.8661263565917757","6.591657643368853"
"0000.11.4445","PARQUE ESTADUAL ILHA DAS FLORES",2018,6,"ALTA FLORESTA D'OESTE","RO","Amazônia","23.025466633451387","1.3929240120679725"
"0000.00.0280","RESERVA EXTRATIVISTA RIO IRIRI",2006,18,"ALTAMIRA","PA","Amazônia","0","124.25410617267471"
"0000.00.0151","PARQUE NACIONAL DA SERRA DO PARDO",2005,19,"ALTAMIRA","PA","Amazônia","0","338.46204974342237"
"0000.00.0265","FLORESTA NACIONAL DO TRAIRÃO",2006,18,"ALTAMIRA","PA","Amazônia","0","240.7341692613358"
"0000.00.0258","RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO",2004,20,"ALTAMIRA","PA","Amazônia","0","124.25410617267471"
"0000.00.0216","RESERVA BIOLÓGICA NASCENTES DA SERRA DO CACHIMBO",2005,19,"ALTAMIRA","PA","Amazônia","0","201.34031450917564"
"0000.00.0267","PARQUE NACIONAL DO JAMANXIM",2006,18,"ALTAMIRA","PA","Amazônia","0","214.5849208377507"
"0000.15.1039","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU",2006,18,"ALTAMIRA","PA","Amazônia","0","338.46204974342237"
"0000.15.1036","FLORESTA ESTADUAL DE IRIRI",2006,18,"ALTAMIRA","PA","Amazônia","0","124.2541061726747"
"0000.00.0047","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO",2005,19,"ALTAMIRA","PA","Amazônia","0","338.4620497434225"
"0000.00.1635","RESERVA EXTRATIVISTA RIO XINGU",2008,16,"ALTAMIRA","PA","Amazônia","212.97296587520816","125.4890838682142"
"0000.26.3786","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRO AZUL",2015,8,"ALTINHO","PE","Caatinga","0.6235691686361649","0.08715144174234958"
"0000.00.1198","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CABANOS",2002,21,"ALTINHO","PE","Mata Atlântica","0.0328586680194075","0.47018501483576386"
"0000.00.1198","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CABANOS",2002,21,"ALTINHO","PE","Caatinga","0.0328586680194075","0.47018501483576397"
"0000.26.3786","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRO AZUL",2015,8,"ALTINHO","PE","Mata Atlântica","0.6235691686361647","0.08715144174234958"
"0000.00.2105","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOSCO",2005,19,"ALTO ALEGRE DOS PARECIS","RO","Amazônia","0","13.6717951665984"
"0300.51.4907","ÁREA DE PROTEÇÃO AMBIENTAL CÓRREGOS GORDURA E BOIADEIRO",2018,6,"ALTO ARAGUAIA","MT","Cerrado","8.075101524698141","0.4889615195832378"
"0300.51.4905","ÁREA DE PROTEÇÃO AMBIENTAL RIO ARAGUAIA, CÓRREGO RICO, COUTO MAGALHÃES E RIO ARAGUAINHA,",2018,6,"ALTO ARAGUAIA","MT","Cerrado","8.075101524698141","0.4889615195832378"
"0300.51.4911","ÁREA DE PROTEÇÃO AMBIENTAL RIBEIRÃO CLARO, ÁGUA EMENDADA, PARAÍSO E RIO ARAGUAINHA",2018,6,"ALTO ARAGUAIA","MT","Cerrado","8.075101524698141","0.48896151958323775"
"0055.52.3961","ÁREA DE PROTEÇÃO AMBIENTAL DO FANHA",2018,6,"ALTO HORIZONTE","GO","Cerrado","1.325520143975455","0.1098775805448285"
"0000.00.2074","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOSQUE DOS SAMAMBAIAÇUS - RESGATE V",2010,13,"ALTO JEQUITIBÁ","MG","Mata Atlântica","0.1117153434902038","0.0436661239106082"
"0000.00.2138","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DOS JACUS - RESGATE VI",2010,13,"ALTO JEQUITIBÁ","MG","Mata Atlântica","0.11171534349020379","0.043666123910608194"
"0000.00.2227","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS ARAPONGAS - RESGATE II",2010,13,"ALTO JEQUITIBÁ","MG","Mata Atlântica","0.1117153434902038","0.0436661239106082"
"0000.22.4828","ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO LONGÁ",2017,7,"ALTO LONGÁ","PI","Cerrado","0.6657551380056804","0.2573917093635134"
"0000.51.1896","ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO PARAGUAI",2006,18,"ALTO PARAGUAI","MT","Cerrado","7.272865482039948","8.290128333662341"
"0000.51.1896","ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO PARAGUAI",2006,18,"ALTO PARAGUAI","MT","Amazônia","7.272865482039948","8.290128333662341"
"0000.52.4128","PARQUE ESTADUAL AGUAS DO PARAISO",2020,4,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.797017190570271","0.17290475268773992"
"0000.00.4493","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MURUNDU",2021,3,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.839426486133424","0.1304954571245867"
"0000.00.4498","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BIORREGIONAL",2021,3,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.839426486133424","0.13049545712458668"
"0000.00.4467","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPOS ÚMIDOS VOCHYSIAS",2021,3,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.839426486133424","0.1304954571245867"
"0000.00.3686","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO",2016,8,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.51081438852994","0.4591075547280702"
"0000.00.3684","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO III",2016,8,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.5108143885299405","0.4591075547280702"
"0000.00.3681","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO II",2016,8,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","2.5108143885299405","0.4591075547280702"
"0060.52.3234","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA CABECEIRA DO CÓRREGO MAHANA",2006,18,"ALTO PARAÍSO DE GOIÁS","GO","Cerrado","1.678044792498321","1.2918771507596898"
"0000.00.4479","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CHAPADÕES",2021,3,"ALTO PARNAÍBA","MA","Cerrado","8.467732963361952","5.231339604637897"
"0000.00.0156","PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA",2002,22,"ALTO PARNAÍBA","MA","Cerrado","3.5566527186051133","92.9132117167686"
"0000.00.0102","FLORESTA NACIONAL DE PALMARES",2005,19,"ALTOS","PI","Cerrado","1.851929309281379","2.9730209990785874"
"0080.52.3927","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA GRANDE",2017,7,"ALVORADA DO NORTE","GO","Cerrado","2.2703617469309503","0.9269727483430309"
"0000.00.4617","FLORESTA NACIONAL DO PARIMA",2023,1,"AMAJARI","RR","Amazônia","4.487422357014796","0.3384408344518966"
"0060.50.2607","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO AMAMBAI",2006,18,"AMAMBAI","MS","Mata Atlântica","0.4017953101369859","0.2102880896937779"
"0060.50.4333","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO IGUATEMI NO MUNICÍPIO DE AMAMBAI",2003,21,"AMAMBAI","MS","Mata Atlântica","0.1806326395999438","0.4314507602308201"
"0060.50.4333","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO IGUATEMI NO MUNICÍPIO DE AMAMBAI",2003,21,"AMAMBAI","MS","Cerrado","0.1806326395999438","0.43145076023081996"
"0060.50.2607","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO AMAMBAI",2006,18,"AMAMBAI","MS","Cerrado","0.4017953101369859","0.21028808969377788"
"0000.16.0885","FLORESTA ESTADUAL DO AMAPÁ",2006,18,"AMAPÁ","AP","Amazônia","0","16.96233532090892"
"0000.41.3183","PARQUE ESTADUAL DE AMAPORÃ",2011,12,"AMAPORÃ","PR","Mata Atlântica","0.004910201889048202","0.00047990463936350004"
"0082.52.4299","ÁREA DE PROTEÇÃO AMBIENTAL ÁGUA FRIA",2021,3,"AMARALINA","GO","Cerrado","4.760110877159485","0.1754504497514294"
"0000.35.4073","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUAS CACHOEIRAS",2010,13,"AMPARO","SP","Mata Atlântica","0.06795273532936721","0.0181083948355733"
