municipio;uf;bioma
CAXIAS;MA;Cerrado
CIDELÂNDIA;MA;Cerrado
COLINAS;MA;Cerrado
COROATÁ;MA;Cerrado
DOM PEDRO;MA;Cerrado
ESPERANTINÓPOLIS;MA;Cerrado
FEIRA NOVA DO MARANHÃO;MA;Cerrado
FORTALEZA DOS NOGUEIRAS;MA;Cerrado
FORTUNA;MA;Cerrado
GONÇALVES DIAS;MA;Cerrado
GOVERNADOR ARCHER;MA;Cerrado
GOVERNADOR EDISON LOBÃO;MA;Cerrado
GOVERNADOR EUGÊNIO BARROS;MA;Cerrado
GOVERNADOR LUIZ ROCHA;MA;Cerrado
GRAJAÚ;MA;Cerrado
GRAÇA ARANHA;MA;Cerrado
IGARAPÉ GRANDE;MA;Cerrado
IMPERATRIZ;MA;Cerrado
ITAIPAVA DO GRAJAÚ;MA;Cerrado
ITAPECURU MIRIM;MA;Cerrado
JATOBÁ;MA;Cerrado
JENIPAPO DOS VIEIRAS;MA;Cerrado
JOSELÂNDIA;MA;Cerrado
JOÃO LISBOA;MA;Cerrado
LAGO DA PEDRA;MA;Cerrado
LAGO DO JUNCO;MA;Cerrado
LAGO DOS RODRIGUES;MA;Cerrado
LAGOA GRANDE DO MARANHÃO;MA;Cerrado
LAGOA DO MATO;MA;Cerrado
LAJEADO NOVO;MA;Cerrado
LIMA CAMPOS;MA;Cerrado
LORETO;MA;Cerrado
MAGALHÃES DE ALMEIDA;MA;Cerrado
MARAJÁ DO SENA;MA;Cerrado
MATA ROMA;MA;Cerrado
MATÕES;MA;Cerrado
MATÕES DO NORTE;MA;Cerrado
MILAGRES DO MARANHÃO;MA;Cerrado
MIRANDA DO NORTE;MA;Cerrado
MONTES ALTOS;MA;Cerrado
NINA RODRIGUES;MA;Cerrado
NOVA COLINAS;MA;Cerrado
NOVA IORQUE;MA;Cerrado
PARAIBANO;MA;Cerrado
PARNARAMA;MA;Cerrado
PASSAGEM FRANCA;MA;Cerrado
PASTOS BONS;MA;Cerrado
PAULO RAMOS;MA;Cerrado
PEDREIRAS;MA;Cerrado
PERITORÓ;MA;Cerrado
PIRAPEMAS;MA;Cerrado
PORTO FRANCO;MA;Cerrado
POÇÃO DE PEDRAS;MA;Cerrado
PRESIDENTE DUTRA;MA;Cerrado
PRESIDENTE VARGAS;MA;Cerrado
RIBAMAR FIQUENE;MA;Cerrado
SAMBAÍBA;MA;Cerrado
SANTA FILOMENA DO MARANHÃO;MA;Cerrado
SANTANA DO MARANHÃO;MA;Cerrado
SANTO ANTÔNIO DOS LOPES;MA;Cerrado
SENADOR ALEXANDRE COSTA;MA;Cerrado
SUCUPIRA DO NORTE;MA;Cerrado
SUCUPIRA DO RIACHÃO;MA;Cerrado
SÃO DOMINGOS DO AZEITÃO;MA;Cerrado
SÃO DOMINGOS DO MARANHÃO;MA;Cerrado
SÃO FRANCISCO DO BREJÃO;MA;Cerrado
SÃO FRANCISCO DO MARANHÃO;MA;Cerrado
SÃO FÉLIX DE BALSAS;MA;Cerrado
SÃO JOSÉ DOS BASÍLIOS;MA;Cerrado
SÃO JOÃO DO PARAÍSO;MA;Cerrado
SÃO JOÃO DO SOTER;MA;Cerrado
SÃO JOÃO DOS PATOS;MA;Cerrado
SÃO LUÍS GONZAGA DO MARANHÃO;MA;Cerrado
SÃO MATEUS DO MARANHÃO;MA;Cerrado
SÃO PEDRO DOS CRENTES;MA;Cerrado
SÃO RAIMUNDO DAS MANGABEIRAS;MA;Cerrado
SÃO RAIMUNDO DO DOCA BEZERRA;MA;Cerrado
SÃO ROBERTO;MA;Cerrado
SÍTIO NOVO;MA;Cerrado
TASSO FRAGOSO;MA;Cerrado
TIMBIRAS;MA;Cerrado
TRIZIDELA DO VALE;MA;Cerrado
TUNTUM;MA;Cerrado
VARGEM GRANDE;MA;Cerrado
ACORIZAL;MT;Cerrado
ALTO BOA VISTA;MT;Cerrado
ALTO GARÇAS;MT;Cerrado
ARAGUAIANA;MT;Cerrado
ARAGUAINHA;MT;Cerrado
ARAPUTANGA;MT;Cerrado
BARRA DO BUGRES;MT;Cerrado
BARÃO DE MELGAÇO;MT;Cerrado
BOM JESUS DO ARAGUAIA;MT;Cerrado
BRASNORTE;MT;Cerrado
CAMPINÁPOLIS;MT;Cerrado
CAMPO NOVO DO PARECIS;MT;Cerrado
CAMPOS DE JÚLIO;MT;Cerrado
CANABRAVA DO NORTE;MT;Cerrado
CANARANA;MT;Cerrado
COMODORO;MT;Cerrado
CONFRESA;MT;Cerrado
CONQUISTA D'OESTE;MT;Cerrado
DENISE;MT;Cerrado
DOM AQUINO;MT;Cerrado
GAÚCHA DO NORTE;MT;Cerrado
GENERAL CARNEIRO;MT;Cerrado
GUIRATINGA;MT;Cerrado
INDIAVAÍ;MT;Cerrado
IPIRANGA DO NORTE;MT;Cerrado
ITIQUIRA;MT;Cerrado
JANGADA;MT;Cerrado
JAURU;MT;Cerrado
JUSCIMEIRA;MT;Cerrado
JUÍNA;MT;Cerrado
LUCIARA;MT;Cerrado
NORTELÂNDIA;MT;Cerrado
NOSSA SENHORA DO LIVRAMENTO;MT;Cerrado
NOVA MARILÂNDIA;MT;Cerrado
NOVA MARINGÁ;MT;Cerrado
NOVA NAZARÉ;MT;Cerrado
NOVA UBIRATÃ;MT;Cerrado
NOVA XAVANTINA;MT;Cerrado
NOVO SÃO JOAQUIM;MT;Cerrado
POCONÉ;MT;Cerrado
PONTAL DO ARAGUAIA;MT;Cerrado
PONTE BRANCA;MT;Cerrado
PONTES E LACERDA;MT;Cerrado
PORTO ALEGRE DO NORTE;MT;Cerrado
POXORÉU;MT;Cerrado
PRIMAVERA DO LESTE;MT;Cerrado
QUERÊNCIA;MT;Cerrado
RESERVA DO CABAÇAL;MT;Cerrado
RIBEIRÃO CASCALHEIRA;MT;Cerrado
SALTO DO CÉU;MT;Cerrado
SANTA TEREZINHA;MT;Cerrado
SANTO AFONSO;MT;Cerrado
SANTO ANTÔNIO DO LESTE;MT;Cerrado
SERRA NOVA DOURADA;MT;Cerrado
SÃO FÉLIX DO ARAGUAIA;MT;Cerrado
SÃO JOSÉ DO POVO;MT;Cerrado
SÃO JOSÉ DO RIO CLARO;MT;Cerrado
SÃO PEDRO DA CIPA;MT;Cerrado
TANGARÁ DA SERRA;MT;Cerrado
TAPURAH;MT;Cerrado
TESOURO;MT;Cerrado
TORIXORÉU;MT;Cerrado
VALE DE SÃO DOMINGOS;MT;Cerrado
VERA;MT;Cerrado
VILA RICA;MT;Cerrado
ANASTÁCIO;MS;Cerrado
ANAURILÂNDIA;MS;Cerrado
ANTÔNIO JOÃO;MS;Cerrado
APARECIDA DO TABOADO;MS;Cerrado
ARAL MOREIRA;MS;Cerrado
BATAYPORÃ;MS;Cerrado
BRASILÂNDIA;MS;Cerrado
CAARAPÓ;MS;Cerrado
CARACOL;MS;Cerrado
CORONEL SAPUCAIA;MS;Cerrado
CORUMBÁ;MS;Cerrado
DOURADINA;MS;Cerrado
DOURADOS;MS;Cerrado
FIGUEIRÃO;MS;Cerrado
GUIA LOPES DA LAGUNA;MS;Cerrado
INOCÊNCIA;MS;Cerrado
ITAPORÃ;MS;Cerrado
JARAGUARI;MS;Cerrado
LAGUNA CARAPÃ;MS;Cerrado
MARACAJU;MS;Cerrado
MIRANDA;MS;Cerrado
NIOAQUE;MS;Cerrado
NOVA ALVORADA DO SUL;MS;Cerrado
PARANAÍBA;MS;Cerrado
PEDRO GOMES;MS;Cerrado
RIO BRILHANTE;MS;Cerrado
RIO NEGRO;MS;Cerrado
ROCHEDO;MS;Cerrado
SANTA RITA DO PARDO;MS;Cerrado
SELVÍRIA;MS;Cerrado
SETE QUEDAS;MS;Cerrado
SIDROLÂNDIA;MS;Cerrado
SONORA;MS;Cerrado
TACURU;MS;Cerrado
TERENOS;MS;Cerrado
ÁGUA CLARA;MS;Cerrado
ABADIA DOS DOURADOS;MG;Cerrado
ABAETÉ;MG;Cerrado
AGUANIL;MG;Cerrado
ALFENAS;MG;Cerrado
ALPINÓPOLIS;MG;Cerrado
ANGELÂNDIA;MG;Cerrado
ARAPORÃ;MG;Cerrado
ARAPUÁ;MG;Cerrado
ARAÇAÍ;MG;Cerrado
ARAÇUAÍ;MG;Cerrado
ARAÚJOS;MG;Cerrado
ARICANDUVA;MG;Cerrado
AUGUSTO DE LIMA;MG;Cerrado
BALDIM;MG;Cerrado
BAMBUÍ;MG;Cerrado
BARÃO DE COCAIS;MG;Cerrado
BERILO;MG;Cerrado
BIQUINHAS;MG;Cerrado
BOM DESPACHO;MG;Cerrado
BOM JESUS DO AMPARO;MG;Cerrado
BONFINÓPOLIS DE MINAS;MG;Cerrado
BRASILÂNDIA DE MINAS;MG;Cerrado
BRASÍLIA DE MINAS;MG;Cerrado
BURITIS;MG;Cerrado
BURITIZEIRO;MG;Cerrado
CABECEIRA GRANDE;MG;Cerrado
CACHOEIRA DA PRATA;MG;Cerrado
CAETANÓPOLIS;MG;Cerrado
CAMPO AZUL;MG;Cerrado
CAMPO BELO;MG;Cerrado
CAMPO FLORIDO;MG;Cerrado
CAMPO DO MEIO;MG;Cerrado
CAMPOS GERAIS;MG;Cerrado
CANDEIAS;MG;Cerrado
CANÁPOLIS;MG;Cerrado
CAPELINHA;MG;Cerrado
CAPETINGA;MG;Cerrado
CAPIM BRANCO;MG;Cerrado
CAPINÓPOLIS;MG;Cerrado
CARBONITA;MG;Cerrado
CARMO DA MATA;MG;Cerrado
CARMO DO CAJURU;MG;Cerrado
CARMO DO PARANAÍBA;MG;Cerrado
CARMO DO RIO CLARO;MG;Cerrado
CARNEIRINHO;MG;Cerrado
CASCALHO RICO;MG;Cerrado
CEDRO DO ABAETÉ;MG;Cerrado
CENTRALINA;MG;Cerrado
CHAPADA DO NORTE;MG;Cerrado
CLARAVAL;MG;Cerrado
CLARO DOS POÇÕES;MG;Cerrado
COMENDADOR GOMES;MG;Cerrado
CONCEIÇÃO DAS ALAGOAS;MG;Cerrado
CONGONHAS DO NORTE;MG;Cerrado
CONQUISTA;MG;Cerrado
COQUEIRAL;MG;Cerrado
CORONEL MURTA;MG;Cerrado
CRISTAIS;MG;Cerrado
CRISTÁLIA;MG;Cerrado
CRUZEIRO DA FORTALEZA;MG;Cerrado
CURRAL DE DENTRO;MG;Cerrado
CURVELO;MG;Cerrado
CÁSSIA;MG;Cerrado
CÓRREGO DANTA;MG;Cerrado
CÓRREGO FUNDO;MG;Cerrado
DATAS;MG;Cerrado
DIVINÓPOLIS;MG;Cerrado
DORES DO INDAIÁ;MG;Cerrado
DORESÓPOLIS;MG;Cerrado
DOURADOQUARA;MG;Cerrado
ENGENHEIRO NAVARRO;MG;Cerrado
ESMERALDAS;MG;Cerrado
ESPINOSA;MG;Cerrado
ESTRELA DO INDAIÁ;MG;Cerrado
ESTRELA DO SUL;MG;Cerrado
FELIXLÂNDIA;MG;Cerrado
FLORESTAL;MG;Cerrado
FORMIGA;MG;Cerrado
FORTUNA DE MINAS;MG;Cerrado
FRANCISCO BADARÓ;MG;Cerrado
FRANCISCO DUMONT;MG;Cerrado
FRANCISCO SÁ;MG;Cerrado
FRONTEIRA;MG;Cerrado
FRUTA DE LEITE;MG;Cerrado
GLAUCILÂNDIA;MG;Cerrado
GOUVEIA;MG;Cerrado
GRUPIARA;MG;Cerrado
GUAPÉ;MG;Cerrado
GUARACIAMA;MG;Cerrado
GUARDA-MOR;MG;Cerrado
GUIMARÂNIA;MG;Cerrado
IBIAÍ;MG;Cerrado
IBIRACATU;MG;Cerrado
IBIRACI;MG;Cerrado
ICARAÍ DE MINAS;MG;Cerrado
IGARAPÉ;MG;Cerrado
IGUATAMA;MG;Cerrado
ILICÍNEA;MG;Cerrado
INDAIABIRA;MG;Cerrado
INDIANÓPOLIS;MG;Cerrado
INHAÚMA;MG;Cerrado
INIMUTABA;MG;Cerrado
IRAÍ DE MINAS;MG;Cerrado
ITAGUARA;MG;Cerrado
ITAMOGI;MG;Cerrado
ITAPAGIPE;MG;Cerrado
ITAPECERICA;MG;Cerrado
ITAÚ DE MINAS;MG;Cerrado
ITAÚNA;MG;Cerrado
ITURAMA;MG;Cerrado
JANAÚBA;MG;Cerrado
JAPARAÍBA;MG;Cerrado
JAPONVAR;MG;Cerrado
JENIPAPO DE MINAS;MG;Cerrado
JEQUITAÍ;MG;Cerrado
JOSENÓPOLIS;MG;Cerrado
JOSÉ GONÇALVES DE MINAS;MG;Cerrado
JOÃO PINHEIRO;MG;Cerrado
JUATUBA;MG;Cerrado
LAGAMAR;MG;Cerrado
LAGOA FORMOSA;MG;Cerrado
LAGOA GRANDE;MG;Cerrado
LAGOA DOS PATOS;MG;Cerrado
LEANDRO FERREIRA;MG;Cerrado
LIMEIRA DO OESTE;MG;Cerrado
LONTRA;MG;Cerrado
LUISLÂNDIA;MG;Cerrado
MANGA;MG;Cerrado
MARAVILHAS;MG;Cerrado
MARTINHO CAMPOS;MG;Cerrado
MATEUS LEME;MG;Cerrado
MATO VERDE;MG;Cerrado
MATUTINA;MG;Cerrado
MEDEIROS;MG;Cerrado
MINAS NOVAS;MG;Cerrado
MIRABELA;MG;Cerrado
MIRAVÂNIA;MG;Cerrado
MOEMA;MG;Cerrado
MONJOLOS;MG;Cerrado
MONTALVÂNIA;MG;Cerrado
MONTE AZUL;MG;Cerrado
MONTE CARMELO;MG;Cerrado
MONTE SANTO DE MINAS;MG;Cerrado
MORRO DA GARÇA;MG;Cerrado
NATALÂNDIA;MG;Cerrado
NEPOMUCENO;MG;Cerrado
NINHEIRA;MG;Cerrado
NOVA SERRANA;MG;Cerrado
NOVO CRUZEIRO;MG;Cerrado
NOVORIZONTE;MG;Cerrado
ONÇA DE PITANGUI;MG;Cerrado
PADRE CARVALHO;MG;Cerrado
PAPAGAIOS;MG;Cerrado
PARÁ DE MINAS;MG;Cerrado
PASSOS;MG;Cerrado
PATIS;MG;Cerrado
PATOS DE MINAS;MG;Cerrado
PEDRAS DE MARIA DA CRUZ;MG;Cerrado
PEDRINÓPOLIS;MG;Cerrado
PEQUI;MG;Cerrado
PERDIGÃO;MG;Cerrado
PIMENTA;MG;Cerrado
PINTÓPOLIS;MG;Cerrado
PIRAJUBA;MG;Cerrado
PITANGUI;MG;Cerrado
PIUMHI;MG;Cerrado
PLANURA;MG;Cerrado
POMPÉU;MG;Cerrado
PRATINHA;MG;Cerrado
PRATÁPOLIS;MG;Cerrado
PRESIDENTE JUSCELINO;MG;Cerrado
PRESIDENTE KUBITSCHEK;MG;Cerrado
QUARTEL GERAL;MG;Cerrado
RIACHINHO;MG;Cerrado
RIBEIRÃO DAS NEVES;MG;Cerrado
RIO PARANAÍBA;MG;Cerrado
ROMARIA;MG;Cerrado
RUBELITA;MG;Cerrado
SABARÁ;MG;Cerrado
SALINAS;MG;Cerrado
SANTA CRUZ DE SALINAS;MG;Cerrado
SANTA FÉ DE MINAS;MG;Cerrado
SANTA JULIANA;MG;Cerrado
SANTA MARIA DE ITABIRA;MG;Cerrado
SANTA ROSA DA SERRA;MG;Cerrado
SANTANA DA VARGEM;MG;Cerrado
SANTANA DE PIRAPAMA;MG;Cerrado
SANTO ANTÔNIO DO MONTE;MG;Cerrado
SANTO ANTÔNIO DO RETIRO;MG;Cerrado
SERRA DA SAUDADE;MG;Cerrado
SETUBINHA;MG;Cerrado
SÃO FRANCISCO;MG;Cerrado
SÃO FRANCISCO DE PAULA;MG;Cerrado
SÃO FRANCISCO DE SALES;MG;Cerrado
SÃO GONÇALO DO ABAETÉ;MG;Cerrado
SÃO GONÇALO DO PARÁ;MG;Cerrado
SÃO GONÇALO DO RIO ABAIXO;MG;Cerrado
SÃO GOTARDO;MG;Cerrado
SÃO JOAQUIM DE BICAS;MG;Cerrado
SÃO JOSÉ DA BARRA;MG;Cerrado
SÃO JOSÉ DA VARGINHA;MG;Cerrado
SÃO JOÃO DA LAGOA;MG;Cerrado
SÃO JOÃO DA PONTE;MG;Cerrado
SÃO JOÃO DAS MISSÕES;MG;Cerrado
SÃO JOÃO DO PACUÍ;MG;Cerrado
SÃO JOÃO DO PARAÍSO;MG;Cerrado
SÃO ROMÃO;MG;Cerrado
SÃO SEBASTIÃO DO OESTE;MG;Cerrado
SÃO SEBASTIÃO DO PARAÍSO;MG;Cerrado
SÃO SEBASTIÃO DO RIO PRETO;MG;Cerrado
SÃO TOMÁS DE AQUINO;MG;Cerrado
TAIOBEIRAS;MG;Cerrado
TAPIRA;MG;Cerrado
TAPIRAÍ;MG;Cerrado
TIROS;MG;Cerrado
TRÊS MARIAS;MG;Cerrado
TRÊS PONTAS;MG;Cerrado
UBAÍ;MG;Cerrado
UNIÃO DE MINAS;MG;Cerrado
VARJÃO DE MINAS;MG;Cerrado
VARZELÂNDIA;MG;Cerrado
VAZANTE;MG;Cerrado
VEREDINHA;MG;Cerrado
VERÍSSIMO;MG;Cerrado
VESPASIANO;MG;Cerrado
VIRGEM DA LAPA;MG;Cerrado
VÁRZEA DA PALMA;MG;Cerrado
ÁGUA BOA;MG;Cerrado
ÁGUA COMPRIDA;MG;Cerrado
ARAPOTI;PR;Cerrado
CASTRO;PR;Cerrado
PIRAÍ DO SUL;PR;Cerrado
SÃO JOSÉ DA BOA VISTA;PR;Cerrado
TELÊMACO BORBA;PR;Cerrado
VENTANIA;PR;Cerrado
WENCESLAU BRAZ;PR;Cerrado
CONCEIÇÃO DO ARAGUAIA;PA;Cerrado
FLORESTA DO ARAGUAIA;PA;Cerrado
PAU D'ARCO;PA;Cerrado
REDENÇÃO;PA;Cerrado
RIO MARIA;PA;Cerrado
SANTA MARIA DAS BARREIRAS;PA;Cerrado
SANTANA DO ARAGUAIA;PA;Cerrado
AGRICOLÂNDIA;PI;Cerrado
ALVORADA DO GURGUÉIA;PI;Cerrado
AMARANTE;PI;Cerrado
ANGICAL DO PIAUÍ;PI;Cerrado
ANTÔNIO ALMEIDA;PI;Cerrado
AROAZES;PI;Cerrado
ARRAIAL;PI;Cerrado
BARRA D'ALCÂNTARA;PI;Cerrado
BARRAS;PI;Cerrado
BARRO DURO;PI;Cerrado
BENEDITINOS;PI;Cerrado
BERTOLÍNIA;PI;Cerrado
BOA HORA;PI;Cerrado
BOQUEIRÃO DO PIAUÍ;PI;Cerrado
BURITI DOS LOPES;PI;Cerrado
BURITI DOS MONTES;PI;Cerrado
CABECEIRAS DO PIAUÍ;PI;Cerrado
CAMPO LARGO DO PIAUÍ;PI;Cerrado
CANAVIEIRA;PI;Cerrado
CAPITÃO DE CAMPOS;PI;Cerrado
CARAÚBAS DO PIAUÍ;PI;Cerrado
CASTELO DO PIAUÍ;PI;Cerrado
CAXINGÓ;PI;Cerrado
COCAL;PI;Cerrado
COCAL DE TELHA;PI;Cerrado
COCAL DOS ALVES;PI;Cerrado
COIVARAS;PI;Cerrado
COLÔNIA DO GURGUÉIA;PI;Cerrado
CRISTALÂNDIA DO PIAUÍ;PI;Cerrado
CRISTINO CASTRO;PI;Cerrado
CURIMATÁ;PI;Cerrado
CURRAIS;PI;Cerrado
CURRALINHOS;PI;Cerrado
DEMERVAL LOBÃO;PI;Cerrado
ELESBÃO VELOSO;PI;Cerrado
ELISEU MARTINS;PI;Cerrado
FLORES DO PIAUÍ;PI;Cerrado
FLORIANO;PI;Cerrado
FRANCINÓPOLIS;PI;Cerrado
FRANCISCO AYRES;PI;Cerrado
GUADALUPE;PI;Cerrado
GUARIBAS;PI;Cerrado
HUGO NAPOLEÃO;PI;Cerrado
INHUMA;PI;Cerrado
IPIRANGA DO PIAUÍ;PI;Cerrado
ITAUEIRA;PI;Cerrado
JARDIM DO MULATO;PI;Cerrado
JATOBÁ DO PIAUÍ;PI;Cerrado
JERUMENHA;PI;Cerrado
JOAQUIM PIRES;PI;Cerrado
JOCA MARQUES;PI;Cerrado
JOSÉ DE FREITAS;PI;Cerrado
JUAZEIRO DO PIAUÍ;PI;Cerrado
JÚLIO BORGES;PI;Cerrado
LAGOA ALEGRE;PI;Cerrado
LAGOA DE SÃO FRANCISCO;PI;Cerrado
LAGOA DO PIAUÍ;PI;Cerrado
LAGOA DO SÍTIO;PI;Cerrado
LAGOINHA DO PIAUÍ;PI;Cerrado
LANDRI SALES;PI;Cerrado
LUZILÂNDIA;PI;Cerrado
MADEIRO;PI;Cerrado
MANOEL EMÍDIO;PI;Cerrado
MARCOS PARENTE;PI;Cerrado
MATIAS OLÍMPIO;PI;Cerrado
MIGUEL ALVES;PI;Cerrado
MIGUEL LEÃO;PI;Cerrado
MILTON BRANDÃO;PI;Cerrado
MONSENHOR GIL;PI;Cerrado
MORRO CABEÇA NO TEMPO;PI;Cerrado
MORRO DO CHAPÉU DO PIAUÍ;PI;Cerrado
MURICI DOS PORTELAS;PI;Cerrado
NAZARÉ DO PIAUÍ;PI;Cerrado
NAZÁRIA;PI;Cerrado
NOSSA SENHORA DE NAZARÉ;PI;Cerrado
NOSSA SENHORA DOS REMÉDIOS;PI;Cerrado
NOVO ORIENTE DO PIAUÍ;PI;Cerrado
NOVO SANTO ANTÔNIO;PI;Cerrado
OEIRAS;PI;Cerrado
OLHO D'ÁGUA DO PIAUÍ;PI;Cerrado
PALMEIRA DO PIAUÍ;PI;Cerrado
PALMEIRAIS;PI;Cerrado
PARNAGUÁ;PI;Cerrado
PASSAGEM FRANCA DO PIAUÍ;PI;Cerrado
PAU D'ARCO DO PIAUÍ;PI;Cerrado
PEDRO II;PI;Cerrado
PIMENTEIRAS;PI;Cerrado
PIRIPIRI;PI;Cerrado
PORTO;PI;Cerrado
PORTO ALEGRE DO PIAUÍ;PI;Cerrado
PRATA DO PIAUÍ;PI;Cerrado
REDENÇÃO DO GURGUÉIA;PI;Cerrado
REGENERAÇÃO;PI;Cerrado
RIACHO FRIO;PI;Cerrado
RIBEIRA DO PIAUÍ;PI;Cerrado
RIBEIRO GONÇALVES;PI;Cerrado
SANTA CRUZ DOS MILAGRES;PI;Cerrado
SANTA LUZ;PI;Cerrado
SANTA ROSA DO PIAUÍ;PI;Cerrado
SANTO ANTÔNIO DOS MILAGRES;PI;Cerrado
SEBASTIÃO BARROS;PI;Cerrado
SEBASTIÃO LEAL;PI;Cerrado
SIGEFREDO PACHECO;PI;Cerrado
SÃO FRANCISCO DO PIAUÍ;PI;Cerrado
SÃO FÉLIX DO PIAUÍ;PI;Cerrado
SÃO GONÇALO DO PIAUÍ;PI;Cerrado
SÃO JOSÉ DO DIVINO;PI;Cerrado
SÃO JOSÉ DO PEIXE;PI;Cerrado
SÃO JOÃO DA SERRA;PI;Cerrado
SÃO JOÃO DO ARRAIAL;PI;Cerrado
SÃO MIGUEL DA BAIXA GRANDE;PI;Cerrado
SÃO MIGUEL DO TAPUIO;PI;Cerrado
SÃO PEDRO DO PIAUÍ;PI;Cerrado
TANQUE DO PIAUÍ;PI;Cerrado
UNIÃO;PI;Cerrado
URUÇUÍ;PI;Cerrado
VALENÇA DO PIAUÍ;PI;Cerrado
VÁRZEA GRANDE;PI;Cerrado
ÁGUA BRANCA;PI;Cerrado
VILHENA;RO;Cerrado
AGUAÍ;SP;Cerrado
ALAMBARI;SP;Cerrado
ALTAIR;SP;Cerrado
ALTINÓPOLIS;SP;Cerrado
ALVINLÂNDIA;SP;Cerrado
AMÉRICO BRASILIENSE;SP;Cerrado
AMÉRICO DE CAMPOS;SP;Cerrado
ANALÂNDIA;SP;Cerrado
ANHUMAS;SP;Cerrado
ARAMINA;SP;Cerrado
ARANDU;SP;Cerrado
ARARAS;SP;Cerrado
AREALVA;SP;Cerrado
AREIÓPOLIS;SP;Cerrado
AVAÍ;SP;Cerrado
BARIRI;SP;Cerrado
BARRETOS;SP;Cerrado
BATATAIS;SP;Cerrado
BEBEDOURO;SP;Cerrado
BOA ESPERANÇA DO SUL;SP;Cerrado
BOCAINA;SP;Cerrado
BOM SUCESSO DE ITARARÉ;SP;Cerrado
BOREBI;SP;Cerrado
BORÁ;SP;Cerrado
BRODOWSKI;SP;Cerrado
BURITIZAL;SP;Cerrado
CABRÁLIA PAULISTA;SP;Cerrado
CAJURU;SP;Cerrado
CAMPINA DO MONTE ALEGRE;SP;Cerrado
CAMPOS NOVOS PAULISTA;SP;Cerrado
CARDOSO;SP;Cerrado
CASA BRANCA;SP;Cerrado
CHARQUEADA;SP;Cerrado
COLINA;SP;Cerrado
CONCHAL;SP;Cerrado
CONCHAS;SP;Cerrado
CORONEL MACEDO;SP;Cerrado
CORUMBATAÍ;SP;Cerrado
COSMORAMA;SP;Cerrado
CRAVINHOS;SP;Cerrado
CRISTAIS PAULISTA;SP;Cerrado
CÁSSIA DOS COQUEIROS;SP;Cerrado
CÂNDIDO MOTA;SP;Cerrado
DESCALVADO;SP;Cerrado
DOURADO;SP;Cerrado
DUARTINA;SP;Cerrado
ECHAPORÃ;SP;Cerrado
ENGENHEIRO COELHO;SP;Cerrado
ESPÍRITO SANTO DO TURVO;SP;Cerrado
ESTIVA GERBI;SP;Cerrado
ESTRELA DO NORTE;SP;Cerrado
FERNÃO;SP;Cerrado
FRANCA;SP;Cerrado
GAVIÃO PEIXOTO;SP;Cerrado
GUARACI;SP;Cerrado
GUARIBA;SP;Cerrado
GUARÁ;SP;Cerrado
GUAÍRA;SP;Cerrado
GÁLIA;SP;Cerrado
IACANGA;SP;Cerrado
IARAS;SP;Cerrado
IBATÉ;SP;Cerrado
IBIRAREMA;SP;Cerrado
IBITINGA;SP;Cerrado
ICÉM;SP;Cerrado
IEPÊ;SP;Cerrado
IGARAPAVA;SP;Cerrado
ILHA SOLTEIRA;SP;Cerrado
INDIANA;SP;Cerrado
IPEÚNA;SP;Cerrado
ITABERÁ;SP;Cerrado
ITAPETININGA;SP;Cerrado
ITAPEVA;SP;Cerrado
ITAPORANGA;SP;Cerrado
ITAÍ;SP;Cerrado
ITIRAPUÃ;SP;Cerrado
ITUVERAVA;SP;Cerrado
JABORANDI;SP;Cerrado
JABOTICABAL;SP;Cerrado
JARDINÓPOLIS;SP;Cerrado
JAÚ;SP;Cerrado
JERIQUARA;SP;Cerrado
JOÃO RAMALHO;SP;Cerrado
LEME;SP;Cerrado
LENÇÓIS PAULISTA;SP;Cerrado
LUCIANÓPOLIS;SP;Cerrado
LUPÉRCIO;SP;Cerrado
LUTÉCIA;SP;Cerrado
MACATUBA;SP;Cerrado
MACEDÔNIA;SP;Cerrado
MANDURI;SP;Cerrado
MARACAÍ;SP;Cerrado
MARTINÓPOLIS;SP;Cerrado
MARÍLIA;SP;Cerrado
MATÃO;SP;Cerrado
MIGUELÓPOLIS;SP;Cerrado
MINEIROS DO TIETÊ;SP;Cerrado
MIRA ESTRELA;SP;Cerrado
MIRANTE DO PARANAPANEMA;SP;Cerrado
MOCOCA;SP;Cerrado
MOGI MIRIM;SP;Cerrado
MONTE AZUL PAULISTA;SP;Cerrado
MORRO AGUDO;SP;Cerrado
MOTUCA;SP;Cerrado
NANTES;SP;Cerrado
NARANDIBA;SP;Cerrado
NOVA CAMPINA;SP;Cerrado
NOVA EUROPA;SP;Cerrado
NOVA GRANADA;SP;Cerrado
NUPORANGA;SP;Cerrado
OCAUÇU;SP;Cerrado
OLÍMPIA;SP;Cerrado
ORINDIÚVA;SP;Cerrado
ORLÂNDIA;SP;Cerrado
OSCAR BRESSANE;SP;Cerrado
PALESTINA;SP;Cerrado
PALMITAL;SP;Cerrado
PARAGUAÇU PAULISTA;SP;Cerrado
PARISI;SP;Cerrado
PATROCÍNIO PAULISTA;SP;Cerrado
PAULISTÂNIA;SP;Cerrado
PAULO DE FARIA;SP;Cerrado
PEDRANÓPOLIS;SP;Cerrado
PEDREGULHO;SP;Cerrado
PIRAJU;SP;Cerrado
PIRAPOZINHO;SP;Cerrado
PIRASSUNUNGA;SP;Cerrado
PIRATININGA;SP;Cerrado
PITANGUEIRAS;SP;Cerrado
