codigo_uc;bioma;area
0000.00.0199;Área Marinha;121.5
0000.00.0200;Caatinga;208.33333333333334
0000.00.0201;Mata Atlântica;6964.75
0000.00.0202;Mata Atlântica;18725.0
0000.00.0203;Mata Atlântica;715.0
0000.00.0203;Área Marinha;34472.0
0000.00.0204;Mata Atlântica;2376.0
0000.00.0205;Mata Atlântica;752.0
0000.00.0206;Amazônia;205148.33333333334
0000.00.0207;Amazônia;90488.66666666667
0000.00.0208;Amazônia;115621.0
0000.00.0209;Amazônia;194041.0
0000.00.0209;Área Marinha;2196.0
0000.00.0210;Amazônia;407759.0
0000.00.0211;Amazônia;49636.5
0000.00.0212;Mata Atlântica;6203.25
0000.00.0213;Amazônia;312867.3333333333
0000.00.0214;Mata Atlântica;119.0
0000.00.0214;Área Marinha;5582.666666666667
0000.00.0215;Mata Atlântica;5053.0
0000.00.0216;Amazônia;171100.0
0000.00.0217;Mata Atlântica;2585.6666666666665
0000.00.0218;Amazônia;64442.0
0000.00.0219;Cerrado;64025.5
0000.00.0220;Amazônia;47329.0
0000.00.0221;Amazônia;106198.0
0000.00.0222;Amazônia;133057.42857142858
0000.00.0223;Amazônia;2309.0
0000.00.0225;Caatinga;231.66666666666666
0000.00.0225;Cerrado;8743.0
0000.00.0225;Área Marinha;32.666666666666664
0000.00.0226;Cerrado;5716.0
0000.00.0227;Amazônia;21601.0
0000.00.0227;Área Marinha;8579.0
0000.00.0228;Amazônia;3409.0
0000.00.0230;Amazônia;89019.5
0000.00.0231;Caatinga;601.0
0000.00.0231;Área Marinha;1.0
0000.00.0232;Amazônia;378594.0
0000.00.0233;Amazônia;76410.0
0000.00.0234;Mata Atlântica;1178.0
0000.00.0235;Amazônia;286957.0
0000.00.0238;Amazônia;75126.0
0000.00.0239;Amazônia;275517.0
0000.00.0240;Amazônia;3023.3333333333335
0000.00.0241;Amazônia;55835.0
0000.00.0242;Amazônia;305075.0
0000.00.0243;Amazônia;24327.0
0000.00.0243;Área Marinha;12352.0
0000.00.0244;Amazônia;93760.0
0000.00.0245;Mata Atlântica;3361.0
0000.00.0246;Mata Atlântica;2122.0
0000.00.0246;Área Marinha;8061.0
0000.00.0247;Amazônia;19983.5
0000.00.0247;Área Marinha;11306.0
0000.00.0248;Amazônia;31017.0
0000.00.0248;Área Marinha;11440.0
0000.00.0249;Amazônia;50053.0
0000.00.0249;Área Marinha;22736.0
0000.00.0250;Amazônia;20735.0
0000.00.0250;Área Marinha;7129.0
0000.00.0251;Mata Atlântica;362.6666666666667
0000.00.0251;Área Marinha;16911.666666666668
0000.00.0252;Mata Atlântica;224.5
0000.00.0252;Área Marinha;44774.0
0000.00.0253;Mata Atlântica;5662.666666666667
0000.00.0253;Área Marinha;27899.666666666668
0000.00.0254;Amazônia;16959.0
0000.00.0254;Área Marinha;12620.0
0000.00.0255;Mata Atlântica;782.0
0000.00.0255;Área Marinha;905.0
0000.00.0256;Amazônia;91994.0
0000.00.0257;Amazônia;54150.5
0000.00.0258;Amazônia;737031.0
0000.00.0259;Amazônia;338643.0
0000.00.0260;Amazônia;1289311.0
0000.00.0261;Mata Atlântica;2191.0
0000.00.0262;Mata Atlântica;6405.0
0000.00.0263;Mata Atlântica;570.3333333333334
0000.00.0263;Área Marinha;75.0
0000.00.0264;Amazônia;269047.5
0000.00.0265;Amazônia;64382.5
0000.00.0266;Amazônia;650756.0
0000.00.0267;Amazônia;287632.3333333333
0000.00.0268;Amazônia;509819.75
0000.00.0269;Mata Atlântica;72.0
0000.00.0270;Amazônia;370198.0
0000.00.0271;Amazônia;227559.0
0000.00.0272;Cerrado;53318.0
0000.00.0273;Amazônia;83819.0
0000.00.0274;Amazônia;51377.666666666664
0000.00.0275;Mata Atlântica;4358.0
0000.00.0276;Mata Atlântica;3732.5
0000.00.0277;Mata Atlântica;7099.666666666667
0000.00.0278;Mata Atlântica;8297.0
0000.00.0279;Amazônia;22778.25
0000.00.0279;Área Marinha;23735.5
0000.00.0280;Amazônia;398986.0
0000.00.0281;Amazônia;391319.8
0000.00.0282;Amazônia;97429.5
0000.00.0283;Amazônia;849694.0
0000.00.0284;Amazônia;240329.25
0000.00.0285;Amazônia;133704.0
0000.00.0286;Cerrado;6174.5
0000.00.0287;Cerrado;17178.0
0000.00.0288;Amazônia;72780.5
0000.00.1040;Cerrado;53.0
0000.00.1041;Cerrado;745.0
0000.00.1042;Amazônia;27.0
0000.00.1043;Cerrado;128.0
0000.00.1044;Cerrado;24.0
0000.00.1045;Mata Atlântica;2.0
0000.00.1046;Mata Atlântica;9.0
0000.00.1047;Mata Atlântica;11.0
0000.00.1048;Mata Atlântica;5.0
0000.00.1049;Mata Atlântica;145.0
0000.00.1050;Mata Atlântica;142.0
0000.00.1051;Mata Atlântica;186.0
0000.00.1052;Mata Atlântica;26.0
0000.00.1053;Mata Atlântica;9.0
0000.00.1053;Área Marinha;14.0
0000.00.1054;Mata Atlântica;61.0
0000.00.1055;Mata Atlântica;7.0
0000.00.1056;Mata Atlântica;41.0
0000.00.1057;Mata Atlântica;18.0
0000.00.1058;Mata Atlântica;111.0
0000.00.1059;Mata Atlântica;111.0
0000.00.1060;Mata Atlântica;73.0
0000.00.1061;Mata Atlântica;34.0
0000.00.1062;Mata Atlântica;86.0
0000.00.1063;Mata Atlântica;26.0
0000.00.1064;Mata Atlântica;28.0
0000.00.1065;Mata Atlântica;13.0
0000.00.1066;Cerrado;175.0
0000.00.1067;Cerrado;242.0
0000.00.1068;Mata Atlântica;19.0
0000.00.1069;Mata Atlântica;50.0
0000.00.1070;Mata Atlântica;3.0
0000.00.1071;Mata Atlântica;58.0
0000.00.1072;Mata Atlântica;56.0
0000.00.1073;Mata Atlântica;15.0
0000.00.1074;Mata Atlântica;51.0
0000.00.1075;Mata Atlântica;1.0
0000.00.1076;Mata Atlântica;19.0
0000.00.1077;Mata Atlântica;13.0
0000.00.1078;Mata Atlântica;10.0
0000.00.1079;Mata Atlântica;900.0
0000.00.1080;Mata Atlântica;559.0
0000.00.1081;Mata Atlântica;1157.0
0000.00.1082;Mata Atlântica;4.0
0000.00.1083;Mata Atlântica;591.0
0000.00.1084;Mata Atlântica;16.0
0000.00.1085;Mata Atlântica;100.0
0000.00.1086;Mata Atlântica;5296.0
0000.00.1088;Mata Atlântica;50.0
0000.00.1089;Mata Atlântica;3.0
0000.00.1090;Mata Atlântica;1854.0
0000.00.1091;Mata Atlântica;416.0
0000.00.1092;Mata Atlântica;103.0
0000.00.1093;Mata Atlântica;10.0
0000.00.1094;Mata Atlântica;7.0
0000.00.1095;Mata Atlântica;44.0
0000.00.1096;Mata Atlântica;87.0
0000.00.1097;Mata Atlântica;4582.0
0000.00.1098;Mata Atlântica;82.0
0000.00.1099;Mata Atlântica;49.0
0000.00.1100;Mata Atlântica;26.0
0000.00.1101;Mata Atlântica;228.0
0000.00.1102;Mata Atlântica;20.0
0000.00.1103;Pampa;9.0
0000.00.1104;Pampa;8.0
0000.00.1105;Pampa;132.0
0000.00.1106;Mata Atlântica;10.0
0000.00.1107;Mata Atlântica;4.0
0000.00.1108;Pampa;2.0
0000.00.1110;Pampa;137.0
0000.00.1111;Pampa;14.0
0000.00.1112;Mata Atlântica;17.0
0000.00.1113;Pampa;10.0
0000.00.1114;Mata Atlântica;18.0
0000.00.1115;Pampa;99.0
0000.00.1116;Pampa;44.0
0000.00.1117;Pampa;13.0
0000.00.1118;Pampa;11.0
0000.00.1119;Pampa;158.0
0000.00.1120;Pampa;45.0
0000.00.1121;Pampa;65.0
0000.00.1122;Pampa;3.0
0000.00.1123;Mata Atlântica;6.0
0000.00.1124;Pampa;336.0
0000.00.1125;Pampa;10.0
0000.00.1126;Pampa;15.0
0000.00.1127;Amazônia;883.0
0000.00.1129;Amazônia;110.0
0000.00.1130;Amazônia;62.0
0000.00.1131;Amazônia;590.0
0000.00.1132;Amazônia;981.0
0000.00.1133;Amazônia;45.0
0000.00.1134;Amazônia;995.0
0000.00.1135;Pantanal;4183.0
0000.00.1137;Mata Atlântica;2039.0
0000.00.1138;Caatinga;756.0
0000.00.1139;Mata Atlântica;143.0
0000.00.1140;Mata Atlântica;172.0
0000.00.1141;Mata Atlântica;18.0
0000.00.1142;Mata Atlântica;3.0
0000.00.1142;Área Marinha;1.0
0000.00.1143;Mata Atlântica;522.0
0000.00.1144;Mata Atlântica;31.0
0000.00.1145;Mata Atlântica;40.0
0000.00.1146;Mata Atlântica;73.0
0000.00.1147;Mata Atlântica;125.0
0000.00.1148;Mata Atlântica;26.0
0000.00.1149;Mata Atlântica;6.0
0000.00.1151;Mata Atlântica;343.0
0000.00.1152;Mata Atlântica;19.0
0000.00.1153;Mata Atlântica;29.0
0000.00.1154;Mata Atlântica;117.0
0000.00.1155;Mata Atlântica;20.0
0000.00.1156;Mata Atlântica;650.0
0000.00.1157;Mata Atlântica;472.0
0000.00.1158;Amazônia;55.0
0000.00.1159;Mata Atlântica;46.0
0000.00.1160;Mata Atlântica;17.0
0000.00.1161;Mata Atlântica;3.0
0000.00.1162;Mata Atlântica;64.0
0000.00.1163;Mata Atlântica;10.0
0000.00.1164;Mata Atlântica;381.0
0000.00.1165;Mata Atlântica;5.0
0000.00.1166;Mata Atlântica;185.0
0000.00.1167;Mata Atlântica;109.0
0000.00.1168;Mata Atlântica;9.0
0000.00.1169;Mata Atlântica;1.0
0000.00.1170;Mata Atlântica;40.0
0000.00.1172;Mata Atlântica;14.0
0000.00.1173;Mata Atlântica;34.0
0000.00.1175;Mata Atlântica;3.0
0000.00.1176;Mata Atlântica;28.0
0000.00.1177;Mata Atlântica;14.0
0000.00.1179;Mata Atlântica;16.0
0000.00.1180;Cerrado;252.0
0000.00.1181;Mata Atlântica;5171.0
0000.00.1182;Mata Atlântica;500.0
0000.00.1183;Mata Atlântica;114.0
0000.00.1184;Mata Atlântica;818.0
0000.00.1186;Mata Atlântica;153.0
0000.00.1187;Mata Atlântica;10.0
0000.00.1188;Mata Atlântica;131.0
0000.00.1189;Mata Atlântica;29.0
0000.00.1191;Cerrado;174.0
0000.00.1192;Cerrado;172.0
0000.00.1193;Caatinga;238.0
0000.00.1194;Caatinga;5097.0
0000.00.1195;Caatinga;139.0
0000.00.1196;Cerrado;576.0
0000.00.1197;Caatinga;281.0
0000.00.1198;Caatinga;6.0
0000.00.1199;Mata Atlântica;25.0
0000.00.1200;Mata Atlântica;619.0
0000.00.1201;Mata Atlântica;75.0
0000.00.1202;Caatinga;52.0
0000.00.1203;Caatinga;1465.0
0000.00.1204;Caatinga;3449.0
0000.00.1205;Caatinga;93.0
0000.00.1206;Mata Atlântica;1036.0
0000.00.1207;Caatinga;383.0
0000.00.1208;Caatinga;325.0
0000.00.1209;Caatinga;738.0
0000.00.1210;Caatinga;167.0
0000.00.1211;Mata Atlântica;261.0
0000.00.1212;Amazônia;400.0
0000.00.1213;Amazônia;6.0
0000.00.1214;Amazônia;396.0
0000.00.1216;Amazônia;2000.0
0000.00.1217;Cerrado;195.0
0000.00.1218;Pantanal;25828.0
