codigo_uc;municipio;uf
0000.00.0105;RITÁPOLIS;MG
0000.00.0105;SÃO JOÃO DEL REI;MG
0000.00.0106;ALTO ALEGRE;RR
0000.00.0106;MUCAJAÍ;RR
0000.00.0107;FEIJÓ;AC
0000.00.0107;SANTA ROSA DO PURUS;AC
0000.00.0108;SENA MADUREIRA;AC
0000.00.0109;FARO;PA
0000.00.0109;ORIXIMINÁ;PA
0000.00.0109;TERRA SANTA;PA
0000.00.0110;SILVÂNIA;GO
0000.00.0111;SOBRAL;CE
0000.00.0112;ALVARÃES;AM
0000.00.0112;CARAUARI;AM
0000.00.0112;JURUÁ;AM
0000.00.0112;TEFÉ;AM
0000.00.0112;UARINI;AM
0000.00.0113;AMAPÁ;AP
0000.00.0113;FERREIRA GOMES;AP
0000.00.0113;PRACUÚBA;AP
0000.00.0114;BARCELOS;AM
0000.00.0114;SANTA ISABEL DO RIO NEGRO;AM
0000.00.0115;BARBALHA;CE
0000.00.0115;CRATO;CE
0000.00.0115;JARDIM;CE
0000.00.0115;MISSÃO VELHA;CE
0000.00.0115;NOVA OLINDA;CE
0000.00.0115;SANTANA DO CARIRI;CE
0000.00.0116;PORTO VELHO;RO
0000.00.0117;MARABÁ;PA
0000.00.0118;CANDEIAS DO JAMARI;RO
0000.00.0118;CUJUBIM;RO
0000.00.0118;ITAPUÃ DO OESTE;RO
0000.00.0119;APUÍ;AM
0000.00.0120;SENA MADUREIRA;AC
0000.00.0121;BOCA DO ACRE;AM
0000.00.0121;PAUINI;AM
0000.00.0122;CONCEIÇÃO DA BARRA;ES
0000.00.0123;AVEIRO;PA
0000.00.0123;BELTERRA;PA
0000.00.0123;PLACAS;PA
0000.00.0123;RURÓPOLIS;PA
0000.00.0124;MARABÁ;PA
0000.00.0124;PARAUAPEBAS;PA
0000.00.0124;SÃO FÉLIX DO XINGU;PA
0000.00.0125;FERNANDES PINHEIRO;PR
0000.00.0125;IMBITUVA;PR
0000.00.0125;TEIXEIRA SOARES;PR
0000.00.0126;BOCA DO ACRE;AM
0000.00.0126;PAUINI;AM
0000.00.0127;SEROPÉDICA;RJ
0000.00.0128;SÃO DOMINGOS;GO
0000.00.0129;PASSA QUATRO;MG
0000.00.0130;MATO CASTELHANO;RS
0000.00.0131;PIRAÍ DO SUL;PR
0000.00.0132;CABEDELO;PB
0000.00.0132;JOÃO PESSOA;PB
0000.00.0133;SÃO FRANCISCO DE PAULA;RS
0000.00.0134;TRÊS BARRAS;SC
0000.00.0135;ITACARAMBI;MG
0000.00.0135;SÃO JOÃO DAS MISSÕES;MG
0000.00.0136;AVEIRO;PA
0000.00.0136;ITAITUBA;PA
0000.00.0136;MAUÉS;AM
0000.00.0137;ANDARAÍ;BA
0000.00.0137;IBICOARA;BA
0000.00.0137;ITAETÉ;BA
0000.00.0137;LENÇÓIS;BA
0000.00.0137;MUCUGÊ;BA
0000.00.0137;PALMEIRAS;BA
0000.00.0138;CHAPADA DOS GUIMARÃES;MT
0000.00.0138;CUIABÁ;MT
0000.00.0139;ALTO PARAÍSO DE GOIÁS;GO
0000.00.0139;CAVALCANTE;GO
0000.00.0139;NOVA ROMA;GO
0000.00.0139;SÃO JOÃO D'ALIANÇA;GO
0000.00.0139;TERESINA DE GOIÁS;GO
0000.00.0140;MOSTARDAS;RS
0000.00.0140;TAVARES;RS
0000.00.0141;CARAPEBUS;RJ
0000.00.0141;MACAÉ;RJ
0000.00.0141;QUISSAMÃ;RJ
0000.00.0142;ANGRA DOS REIS;RJ
0000.00.0142;AREIAS;SP
0000.00.0142;CUNHA;SP
0000.00.0142;PARATY;RJ
0000.00.0142;SÃO JOSÉ DO BARREIRO;SP
0000.00.0142;UBATUBA;SP
0000.00.0143;BODOQUENA;MS
0000.00.0143;BONITO;MS
0000.00.0143;JARDIM;MS
0000.00.0143;PORTO MURTINHO;MS
0000.00.0144;CAPITÓLIO;MG
0000.00.0144;DELFINÓPOLIS;MG
0000.00.0144;SACRAMENTO;MG
0000.00.0144;SÃO JOÃO BATISTA DO GLÓRIA;MG
0000.00.0144;SÃO ROQUE DE MINAS;MG
0000.00.0144;VARGEM BONITA;MG
0000.00.0145;BREJO DO PIAUÍ;PI
0000.00.0145;CORONEL JOSÉ DIAS;PI
0000.00.0145;JOÃO COSTA;PI
0000.00.0145;SÃO RAIMUNDO NONATO;PI
0000.00.0146;ALVORADA DO GURGUÉIA;PI
0000.00.0146;BOM JESUS;PI
0000.00.0146;CANTO DO BURITI;PI
0000.00.0146;CARACOL;PI
0000.00.0146;CRISTINO CASTRO;PI
0000.00.0146;CURIMATÁ;PI
0000.00.0146;GUARIBAS;PI
0000.00.0146;JUREMA;PI
0000.00.0146;REDENÇÃO DO GURGUÉIA;PI
0000.00.0146;SANTA LUZ;PI
0000.00.0146;TAMBORIL DO PIAUÍ;PI
0000.00.0147;AREIA BRANCA;SE
0000.00.0147;CAMPO DO BRITO;SE
0000.00.0147;ITABAIANA;SE
0000.00.0147;ITAPORANGA D'AJUDA;SE
0000.00.0147;LARANJEIRAS;SE
0000.00.0147;MALHADOR;SE
0000.00.0148;ITABIRA;MG
0000.00.0148;ITAMBÉ DO MATO DENTRO;MG
0000.00.0148;JABOTICATUBAS;MG
0000.00.0148;MORRO DO PILAR;MG
0000.00.0148;NOVA UNIÃO;MG
0000.00.0148;SANTANA DO RIACHO;MG
0000.00.0149;CRUZEIRO DO SUL;AC
0000.00.0149;MÂNCIO LIMA;AC
0000.00.0149;MARECHAL THAUMATURGO;AC
0000.00.0149;PORTO WALTER;AC
0000.00.0149;RODRIGUES ALVES;AC
0000.00.0150;APIÚNA;SC
0000.00.0150;ASCURRA;SC
0000.00.0150;BLUMENAU;SC
0000.00.0150;BOTUVERÁ;SC
0000.00.0150;GASPAR;SC
0000.00.0150;GUABIRUBA;SC
0000.00.0150;INDAIAL;SC
0000.00.0150;PRESIDENTE NEREU;SC
0000.00.0150;VIDAL RAMOS;SC
0000.00.0151;ALTAMIRA;PA
0000.00.0151;SÃO FÉLIX DO XINGU;PA
0000.00.0152;GUAPIMIRIM;RJ
0000.00.0152;MAGÉ;RJ
